"		    w	 s  a  nr",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HR-MAP PDTW Acc,120,7,4,1,0.62,0.6,0.48,0.6,0.52,0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HR-MAP PDTW Pre,120,7,4,1,0.68,0.59,0.5,0.59,0.53,0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HR-MAP PDTW Rec,120,7,4,1,0.5,0.8,0.93,0.73,0.67,0.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HR-MAP PDTW F,120,7,4,1,0.58,0.68,0.65,0.66,0.59,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,window,symbol,alpha,numeros,accuracy,precision,recall,fmeasure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HR-MAP Multi BOP,120,7,5,1,0.62,0.7,0.47,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This is Stacked not Multi because Amanda did Multi,,"Do 4, 12","12, 15, 20",Do 2 numer,,,,,HR-MAP Multi TF,120,7,5,1,0.57,0.56,0.77,0.65,HR-MAP Multi TFIDF,120,7,5,1,0.55,0.54,0.93,0.68,HR-MAP Multi TFIDFIF,120,7,5,1,0.62,0.62,0.67,0.65,HR-MAP Multi TFIF,120,7,5,1,0.57,0.57,0.7,0.63,HR-MAP Multi TFP,120,7,5,1,0.53,0.57,0.4,0.47
HR-MAP Multi BOP,120,7,6,1,0.62,0.79,0.37,0.5,HR-MAP Multi TF,120,7,6,1,0.55,0.54,0.87,0.67,HR-MAP Multi TFIDF,120,7,6,1,0.57,0.55,0.93,0.69,HR-MAP Multi TFIDFIF,120,7,6,1,0.59,0.57,0.8,0.67,HR-MAP Multi TFIF,120,7,6,1,0.57,0.56,0.83,0.67,HR-MAP Multi TFP,120,7,6,1,0.5,0.54,0.23,0.33
HR-MAP Multi BOP,120,4,12,1,0.62,0.72,0.43,0.54,HR-MAP Multi TF,120,4,12,1,0.55,0.54,0.83,0.66,HR-MAP Multi TFIDF,120,4,12,1,0.59,0.56,0.93,0.7,HR-MAP Multi TFIDFIF,120,4,12,1,0.57,0.56,0.77,0.65,HR-MAP Multi TFIF,120,4,12,1,0.59,0.57,0.77,0.66,HR-MAP Multi TFP,120,4,12,1,0.55,0.55,0.77,0.64
HR-MAP Multi BOP,120,4,15,1,0.57,0.67,0.33,0.44,HR-MAP Multi TF,120,4,15,1,0.52,0.52,0.83,0.64,HR-MAP Multi TFIDF,120,4,15,1,0.55,0.54,0.9,0.68,HR-MAP Multi TFIDFIF,120,4,15,1,0.53,0.53,0.8,0.64,HR-MAP Multi TFIF,120,4,15,1,0.5,0.51,0.67,0.58,HR-MAP Multi TFP,120,4,15,1,0.48,0.5,0.73,0.59
HR-MAP Multi BOP,120,4,20,1,0.6,0.77,0.33,0.47,HR-MAP Multi TF,120,4,20,1,0.55,0.54,0.9,0.68,HR-MAP Multi TFIDF,120,4,20,1,0.55,0.54,0.9,0.68,HR-MAP Multi TFIDFIF,120,4,20,1,0.53,0.53,0.83,0.65,HR-MAP Multi TFIF,120,4,20,1,0.55,0.54,0.87,0.67,HR-MAP Multi TFP,120,4,20,1,0.52,0.53,0.7,0.6
HR-MAP Multi BOP,120,5,20,1,0.48,0.5,0.03,0.06,HR-MAP Multi TF,120,5,20,1,0.55,0.54,0.9,0.68,HR-MAP Multi TFIDF,120,5,20,1,0.55,0.54,0.9,0.68,HR-MAP Multi TFIDFIF,120,5,20,1,0.55,0.54,0.9,0.68,HR-MAP Multi TFIF,120,5,20,1,0.55,0.54,0.9,0.68,HR-MAP Multi TFP,120,5,20,1,0.45,0,0,   NaN
HR-MAP Multi BOP,120,5,2,1,0.59,0.58,0.7,0.64,HR-MAP Multi TF,120,5,2,1,0.57,0.56,0.77,0.65,HR-MAP Multi TFIDF,120,5,2,1,0.5,0.52,0.57,0.54,HR-MAP Multi TFIDFIF,120,5,2,1,0.55,0.55,0.73,0.63,HR-MAP Multi TFIF,120,5,2,1,0.55,0.55,0.73,0.63,HR-MAP Multi TFP,120,5,2,1,0.57,0.56,0.77,0.65
HR-MAP Multi BOP,120,5,2,2,0.64,0.63,0.73,0.68,HR-MAP Multi TF,120,5,2,2,0.71,0.67,0.87,0.75,HR-MAP Multi TFIDF,120,5,2,2,0.43,0.46,0.53,0.49,HR-MAP Multi TFIDFIF,120,5,2,2,0.71,0.67,0.87,0.75,HR-MAP Multi TFIF,120,5,2,2,0.66,0.64,0.77,0.7,HR-MAP Multi TFP,120,5,2,2,0.64,0.62,0.77,0.69
HR-MAP Multi BOP,120,4,12,2,0.52,0.55,0.4,0.46,HR-MAP Multi TF,120,4,12,2,0.52,0.53,0.6,0.56,HR-MAP Multi TFIDF,120,4,12,2,0.5,0.53,0.33,0.41,HR-MAP Multi TFIDFIF,120,4,12,2,0.5,0.51,0.6,0.55,HR-MAP Multi TFIF,120,4,12,2,0.52,0.53,0.6,0.56,HR-MAP Multi TFP,120,4,12,2,0.52,0.53,0.53,0.53
HR-MAP Multi BOP,120,4,15,2,0.59,0.64,0.47,0.54,HR-MAP Multi TF,120,4,15,2,0.55,0.56,0.63,0.59,HR-MAP Multi TFIDF,120,4,15,2,0.52,0.55,0.4,0.46,HR-MAP Multi TFIDFIF,120,4,15,2,0.53,0.54,0.63,0.58,HR-MAP Multi TFIF,120,4,15,2,0.47,0.48,0.53,0.51,HR-MAP Multi TFP,120,4,15,2,0.48,0.5,0.47,0.48
,,,,,0.64,0.79,0.73,0.68,,,,,,0.71,0.67,0.9,0.75,,,,,,0.59,0.56,0.93,0.7,,,,,,0.71,0.67,0.9,0.75,,,,,,0.66,0.64,0.9,0.7,,,,,,0.64,0.62,0.77,0.69
,,,,,0.581111111,0.65,0.421111111,0.481111111,,,,,,0.564,0.556,0.797,0.653,,,,,,0.531,0.533,0.732,0.601,,,,,,0.568,0.562,0.76,0.645,,,,,,0.553,0.549,0.737,0.629,,,,,,0.524,0.49,0.537,0.553333333
,,,,,0.051343073,0.098234414,0.208653088,0.177372803,,,,,,0.053995885,0.042216374,0.106567662,0.051650535,,,,,,0.045570458,0.027908581,0.245211926,0.113083057,,,,,,0.060516297,0.048258563,0.100774776,0.05421152,,,,,,0.05186521,0.042282121,0.116719036,0.060818491,,,,,,0.053995885,0.175689119,0.265122613,0.112805142
